Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Asllani,Centrocampista,Torino,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Zielinski,Centrocampista,Inter,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,True
Cabal,Difensore,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Miretti,Centrocampista,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Gigot,Difensore,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Provstgaard,Difensore,Lazio,6.00,6.00,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Patric,Difensore,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lazzari,Difensore,Lazio,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Pellegrini Lu.,Difensore,Lazio,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Cancellieri,Attaccante,Lazio,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Kouassi,Difensore,Lecce,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
NDri,Attaccante,Lecce,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,True
Bondo,Centrocampista,Cremonese,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Milinkovic-Savic V.,Portiere,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Juan Jesus,Difensore,Napoli,6.25,6.00,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Valenti,Difensore,Parma,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Semper,Portiere,Pisa,6.50,5.50,2,0,2,0,0,0,0,0,0,0,0,2,0,True
Canestrelli,Difensore,Pisa,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Mateus Lusuardi,Difensore,Pisa,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Calabresi,Difensore,Pisa,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Hermoso,Difensore,Roma,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Rensch,Difensore,Roma,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,True
Romagna,Difensore,Sassuolo,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Lipani,Centrocampista,Sassuolo,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Pierini,Attaccante,Sassuolo,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Pedersen,Difensore,Torino,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Gineitis,Centrocampista,Torino,4.75,4.75,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Zemura,Difensore,Udinese,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Payero,Centrocampista,Cremonese,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Bayo V.,Attaccante,Udinese,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Montipò,Portiere,Verona,5.50,3.00,1,0,2,0,0,0,0,0,0,0,0,5,0,True
Ghilardi,Difensore,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Valentini N.,Difensore,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ebosse,Difensore,Verona,5.50,5.25,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Bernede,Centrocampista,Verona,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Kastanos,Centrocampista,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bradaric,Difensore,Verona,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Ndiaye,Difensore,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Goglichidze,Difensore,Udinese,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Belghali,Difensore,Verona,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Cheddira,Attaccante,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nelsson,Difensore,Verona,4.75,4.75,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Siebert,Difensore,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vranckx,Centrocampista,Sassuolo,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Matic,Centrocampista,Sassuolo,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Al-Musrati,Centrocampista,Verona,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Tsimikas,Difensore,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lamptey,Difensore,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Faye,Difensore,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Sarmiento J.,Centrocampista,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Zè Pedro,Difensore,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ravaglia F.,Portiere,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Moro N.,Centrocampista,Bologna,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Idrissi R.,Difensore,Cagliari,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Moreno Alb.,Difensore,Como,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Barbieri,Difensore,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bonazzoli,Attaccante,Cremonese,7.50,10.50,1,1,1,0,0,0,1,0,0,0,0,0,0,True
Fortini,Difensore,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Venturino,Centrocampista,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rugani,Difensore,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Mandas,Portiere,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Hysaj,Difensore,Lazio,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Jean,Difensore,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Berisha M.,Centrocampista,Lecce,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Rafia,Centrocampista,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bartesaghi,Difensore,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Marianucci,Difensore,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Zanoli,Difensore,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Mazzocchi,Difensore,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lovik,Difensore,Parma,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Scuffet,Portiere,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vural,Centrocampista,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Akinsanmiro,Centrocampista,Pisa,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Odenthal,Difensore,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Schuurs,Difensore,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Kabasele,Difensore,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rui Modesto,Difensore,Udinese,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Zarraga,Centrocampista,Udinese,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Frese,Difensore,Verona,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Niasse,Centrocampista,Verona,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Giovane,Attaccante,Verona,6.50,7.00,2,1,2,0,0,0,0,0,1,0,0,0,0,True
Miller L.,Centrocampista,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Muric,Portiere,Sassuolo,6.50,3.50,1,0,1,0,0,0,0,0,0,0,0,3,0,True
Sala A.,Centrocampista,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ziolkowski,Difensore,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nkounkou,Difensore,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Coulibaly W.,Difensore,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bonfanti,Difensore,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Di Pardo,Difensore,Cagliari,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Smolcic I.,Difensore,Como,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Ndour,Centrocampista,Fiorentina,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Sabiri,Centrocampista,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Otoa,Difensore,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ekuban,Attaccante,Genoa,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Martinez Jo.,Portiere,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Tiago Gabriel,Difensore,Lecce,6.00,6.00,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Veiga D.,Difensore,Lecce,5.50,5.25,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Kaba,Centrocampista,Lecce,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Estevez,Centrocampista,Parma,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Leris,Centrocampista,Pisa,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Meister,Attaccante,Pisa,5.50,5.25,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Pieragnolo,Difensore,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Masina,Difensore,Torino,4.50,4.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Slotsager,Difensore,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Oyegoke,Difensore,Verona,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Santiago,Centrocampista,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Denoon,Difensore,Pisa,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Cham,Difensore,Verona,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Onana J.,Centrocampista,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Odogu,Difensore,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rossi F.,Portiere,Atalanta,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Sportiello,Portiere,Atalanta,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pessina Mas.,Portiere,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ciocci,Portiere,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Radunovic,Portiere,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Liteta,Centrocampista,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pavoletti,Attaccante,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vigorito,Portiere,Como,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nava,Portiere,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Sernicola,Difensore,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Martinelli T.,Portiere,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Siegrist,Portiere,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Sommariva,Portiere,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ekhator,Attaccante,Genoa,5.50,5.00,0,0,1,1,1,0,0,0,0,0,0,0,0,True
Di Gennaro,Portiere,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Perin,Portiere,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pinsoglio,Portiere,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rouhi,Difensore,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Milik,Attaccante,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Furlanetto,Portiere,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Basic,Centrocampista,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Fruchtl,Portiere,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Samooja,Portiere,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Perez M.,Difensore,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ndaba,Difensore,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Marchwinski,Centrocampista,Lecce,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Terracciano,Portiere,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Torriani,Portiere,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Contini,Portiere,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Corvi,Portiere,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rinaldi,Portiere,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Benedyczak,Attaccante,Parma,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Nicolas,Portiere,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Coppola F.,Difensore,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Mbambi,Difensore,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Esteves T.,Difensore,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Hojholt,Centrocampista,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Buffon L.,Attaccante,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Zelezny,Portiere,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Gollini,Portiere,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Satalino,Portiere,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Paz Y.,Difensore,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Iannoni,Centrocampista,Sassuolo,6.00,5.50,1,0,1,0,1,0,0,0,0,0,0,0,0,True
Moro L.,Attaccante,Sassuolo,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Skjellerup,Attaccante,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Paleari,Portiere,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Popa,Portiere,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Dembelè A.,Difensore,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Njie,Attaccante,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Padelli,Portiere,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Palma,Difensore,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Perilli,Portiere,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vasquez D.,Portiere,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nunziante,Portiere,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lezzerini,Portiere,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Silvestri,Portiere,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rog,Centrocampista,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Adzic,Centrocampista,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ilkhan,Centrocampista,Torino,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Cuenca H.,Centrocampista,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vergara,Centrocampista,Napoli,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Toniolo,Portiere,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Kouadio,Difensore,Fiorentina,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Britschgi,Difensore,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Cavlina,Portiere,Como,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Balentien,Attaccante,Milan,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Ambrosino,Attaccante,Napoli,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Rodriguez Ju.,Difensore,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Gueye,Attaccante,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Akpa Akpro,Centrocampista,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Palacios T.,Difensore,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Arena A.,Attaccante,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ilic M.,Difensore,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,False
